   READ: bw=297MiB/s (312MB/s), 297MiB/s-297MiB/s (312MB/s-312MB/s), io=1024MiB (1074MB), run=3444-3444msec
   READ: bw=290MiB/s (305MB/s), 290MiB/s-290MiB/s (305MB/s-305MB/s), io=1024MiB (1074MB), run=3525-3525msec
   READ: bw=292MiB/s (306MB/s), 292MiB/s-292MiB/s (306MB/s-306MB/s), io=1024MiB (1074MB), run=3505-3505msec
   READ: bw=300MiB/s (314MB/s), 300MiB/s-300MiB/s (314MB/s-314MB/s), io=1024MiB (1074MB), run=3418-3418msec
   READ: bw=295MiB/s (309MB/s), 295MiB/s-295MiB/s (309MB/s-309MB/s), io=1024MiB (1074MB), run=3474-3474msec
   READ: bw=285MiB/s (299MB/s), 285MiB/s-285MiB/s (299MB/s-299MB/s), io=1024MiB (1074MB), run=3592-3592msec
   READ: bw=296MiB/s (311MB/s), 296MiB/s-296MiB/s (311MB/s-311MB/s), io=1024MiB (1074MB), run=3455-3455msec
   READ: bw=292MiB/s (306MB/s), 292MiB/s-292MiB/s (306MB/s-306MB/s), io=1024MiB (1074MB), run=3506-3506msec
   READ: bw=296MiB/s (310MB/s), 296MiB/s-296MiB/s (310MB/s-310MB/s), io=1024MiB (1074MB), run=3462-3462msec
   READ: bw=294MiB/s (308MB/s), 294MiB/s-294MiB/s (308MB/s-308MB/s), io=1024MiB (1074MB), run=3481-3481msec
   READ: bw=293MiB/s (308MB/s), 293MiB/s-293MiB/s (308MB/s-308MB/s), io=1024MiB (1074MB), run=3491-3491msec
   READ: bw=292MiB/s (306MB/s), 292MiB/s-292MiB/s (306MB/s-306MB/s), io=1024MiB (1074MB), run=3511-3511msec
   READ: bw=300MiB/s (315MB/s), 300MiB/s-300MiB/s (315MB/s-315MB/s), io=1024MiB (1074MB), run=3411-3411msec
   READ: bw=240MiB/s (252MB/s), 240MiB/s-240MiB/s (252MB/s-252MB/s), io=1024MiB (1074MB), run=4262-4262msec
   READ: bw=241MiB/s (252MB/s), 241MiB/s-241MiB/s (252MB/s-252MB/s), io=1024MiB (1074MB), run=4253-4253msec
   READ: bw=240MiB/s (252MB/s), 240MiB/s-240MiB/s (252MB/s-252MB/s), io=1024MiB (1074MB), run=4260-4260msec
   READ: bw=308MiB/s (323MB/s), 308MiB/s-308MiB/s (323MB/s-323MB/s), io=1024MiB (1074MB), run=3322-3322msec
   READ: bw=309MiB/s (324MB/s), 309MiB/s-309MiB/s (324MB/s-324MB/s), io=1024MiB (1074MB), run=3313-3313msec
   READ: bw=307MiB/s (322MB/s), 307MiB/s-307MiB/s (322MB/s-322MB/s), io=1024MiB (1074MB), run=3337-3337msec
   READ: bw=307MiB/s (321MB/s), 307MiB/s-307MiB/s (321MB/s-321MB/s), io=1024MiB (1074MB), run=3340-3340msec
   READ: bw=298MiB/s (312MB/s), 298MiB/s-298MiB/s (312MB/s-312MB/s), io=1024MiB (1074MB), run=3439-3439msec
   READ: bw=293MiB/s (308MB/s), 293MiB/s-293MiB/s (308MB/s-308MB/s), io=1024MiB (1074MB), run=3491-3491msec
   READ: bw=307MiB/s (322MB/s), 307MiB/s-307MiB/s (322MB/s-322MB/s), io=1024MiB (1074MB), run=3336-3336msec
   READ: bw=305MiB/s (320MB/s), 305MiB/s-305MiB/s (320MB/s-320MB/s), io=1024MiB (1074MB), run=3355-3355msec
   READ: bw=307MiB/s (322MB/s), 307MiB/s-307MiB/s (322MB/s-322MB/s), io=1024MiB (1074MB), run=3338-3338msec
   READ: bw=299MiB/s (313MB/s), 299MiB/s-299MiB/s (313MB/s-313MB/s), io=1024MiB (1074MB), run=3429-3429msec
   READ: bw=307MiB/s (322MB/s), 307MiB/s-307MiB/s (322MB/s-322MB/s), io=1024MiB (1074MB), run=3337-3337msec
